Country,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy
liberia,2016,"61,55","59,26","60,42"
libia,2021,"74,40","69,63","71,91"
libia,2020,"75,35","69,87","72,47"
libia,2019,"75,77","69,50","72,46"
libia,2018,"75,88","70,02","72,79"
libia,2017,"75,67","69,63","72,48"
libia,2016,"75,47","68,50","71,76"
lituania,2021,"78,80","69,50","74,20"
lituania,2020,"80,10","70,10","75,10"
lituania,2019,"81,20","71,60","76,50"
lituania,2018,"80,70","70,90","76,00"
lituania,2017,"80,50","70,70","75,80"
lituania,2016,"80,10","69,50","74,90"
luxemburgo,2021,"84,80","80,50","82,70"
luxemburgo,2020,"84,50","79,90","82,20"
luxemburgo,2019,"85,20","80,20","82,70"
luxemburgo,2018,"84,60","80,10","82,30"
luxemburgo,2017,"84,40","79,90","82,10"
luxemburgo,2016,"85,40","80,10","82,70"
macedonia,2021,"75,50","71,10","73,20"
macedonia,2020,"76,70","72,20","74,40"
macedonia,2019,"78,60","74,70","76,60"
macedonia,2018,"78,80","74,60","76,70"
macedonia,2017,"77,90","74,10","76,00"
