,Year,Obesity Rate,Max,Min,Continent
547,2020,47.64,70.39,27.29,Asia
548,2019,44.8,65.32,26.06,Asia
549,2018,43.01,61.2,24.78,Asia
550,2017,42.94,60.81,24.96,Asia
551,2016,42.71,60.37,24.89,Asia
552,2021,54.93,90.99,22.09,Asia
553,2020,57.0,92.4,23.28,Asia
554,2019,55.79,91.21,22.89,Asia
555,2018,55.66,90.31,22.95,Asia
556,2017,55.25,90.73,22.75,Asia
557,2016,57.04,91.7,23.82,Asia
558,2021,20.74,33.35,11.3,África
559,2020,20.31,31.13,11.26,África
560,2019,19.8,31.39,10.9,África
561,2018,19.2,30.72,10.52,África
562,2017,18.6,30.48,10.15,África
563,2016,18.04,27.72,9.95,África
564,2021,44.37,69.68,19.9,Asia
565,2020,44.58,69.95,20.17,Asia
566,2019,44.3,70.02,20.08,Asia
567,2018,44.6,70.47,20.33,Asia
568,2017,45.73,72.05,20.72,Asia
569,2016,45.3,73.19,19.48,Asia
570,2021,135.51,214.18,60.48,Oceanía
571,2020,133.64,212.16,61.0,Oceanía
572,2019,131.76,210.37,60.32,Oceanía
573,2018,130.03,207.48,58.84,Oceanía
574,2017,128.31,204.61,57.46,Oceanía
575,2016,126.18,201.29,55.79,Oceanía
576,2021,42.34,64.38,21.13,Asia
577,2020,42.93,61.29,22.29,Asia
578,2019,38.84,55.65,19.85,Asia
579,2018,36.27,51.68,18.48,Asia
580,2017,35.8,51.26,18.36,Asia
581,2016,34.7,50.0,17.94,Asia
582,2021,26.43,43.59,14.02,Asia
583,2020,25.92,41.93,13.61,Asia
584,2019,25.3,40.13,13.39,Asia
585,2018,24.72,39.68,13.2,Asia
586,2017,24.19,39.09,13.03,Asia
587,2016,23.66,37.88,12.59,Asia
588,2021,85.71,146.08,45.29,África
589,2020,88.35,148.77,46.92,África
590,2019,88.51,147.92,46.5,África
591,2018,87.68,145.49,46.11,África
592,2017,87.88,147.43,45.76,África
593,2016,89.22,148.4,46.78,África
594,2021,161.24,261.53,77.64,Europa
595,2020,161.44,257.4,77.77,Europa
596,2019,157.27,252.02,74.6,Europa
597,2018,160.94,257.04,76.91,Europa
598,2017,158.07,249.74,74.29,Europa
599,2016,153.8,244.42,71.15,Europa
600,2021,81.39,124.44,39.8,Asia
601,2020,79.34,122.87,39.19,Asia
602,2019,76.14,115.52,37.81,Asia
603,2018,72.43,111.86,35.88,Asia
604,2017,70.31,108.38,35.22,Asia
605,2016,68.81,105.77,33.93,Asia
606,2021,33.26,52.72,18.58,África
607,2020,32.68,50.92,18.64,África
608,2019,31.92,50.03,18.16,África
609,2018,31.2,49.48,17.54,África
610,2017,30.93,49.07,17.36,África
611,2016,31.05,48.77,17.27,África
612,2021,85.14,133.54,44.72,África
613,2020,83.17,126.32,43.53,África
614,2019,80.56,122.37,42.07,África
615,2018,77.46,116.7,39.8,África
616,2017,74.43,110.64,38.44,África
617,2016,70.71,104.64,36.69,África
618,2021,146.46,242.57,62.08,Europa
619,2020,145.29,236.44,62.32,Europa
620,2019,143.5,233.53,60.96,Europa
621,2018,141.96,230.65,60.36,Europa
622,2017,139.16,228.27,58.02,Europa
623,2016,139.93,228.79,56.82,Europa
624,2021,49.11,80.9,21.12,Europa
625,2020,50.3,82.57,21.94,Europa
626,2019,52.41,85.04,23.12,Europa
627,2018,53.58,86.07,24.04,Europa
628,2017,53.08,85.45,23.81,Europa
629,2016,53.74,86.77,24.38,Europa
630,2021,128.55,202.99,64.76,Europa
631,2020,130.4,201.48,65.3,Europa
632,2019,132.92,204.13,67.53,Europa
633,2018,131.62,201.95,67.14,Europa
634,2017,130.41,201.65,66.13,Europa
635,2016,131.87,200.76,67.68,Europa
636,2021,19.57,30.66,10.87,África
637,2020,19.03,29.43,10.84,África
638,2019,18.49,28.89,10.67,África
639,2018,17.98,28.49,10.23,África
640,2017,17.41,27.36,10.24,África
641,2016,16.89,26.53,9.98,África
642,2021,39.39,60.54,17.7,Asia
643,2020,35.03,54.39,15.67,Asia
644,2019,36.63,56.92,16.54,Asia
645,2018,35.61,55.06,16.18,Asia
646,2017,34.58,53.64,15.75,Asia
647,2016,32.98,50.81,15.05,Asia
648,2021,18.25,29.34,10.42,África
649,2020,18.06,29.51,10.49,África
650,2019,17.63,28.74,10.12,África
651,2018,17.15,27.87,9.97,África
652,2017,16.63,27.0,9.57,África
653,2016,16.19,26.1,9.31,África
654,2021,15.41,24.74,8.12,Asia
655,2020,14.31,22.59,7.68,Asia
656,2019,14.62,23.03,7.72,Asia
657,2018,14.34,22.39,7.59,Asia
658,2017,14.02,21.68,7.52,Asia
659,2016,13.7,20.88,7.54,Asia
660,2021,15.74,25.25,8.28,África
661,2020,15.96,25.71,8.46,África
662,2019,16.15,26.4,8.56,África
663,2018,16.21,25.84,8.65,África
664,2017,16.24,25.66,8.72,África
665,2016,16.18,25.63,8.69,África
666,2021,76.96,126.54,32.39,Europa
667,2020,69.96,115.85,29.72,Europa
668,2019,71.61,118.34,30.01,Europa
669,2018,69.79,115.39,29.2,Europa
670,2017,68.08,112.47,28.73,Europa
671,2016,67.16,111.03,28.37,Europa
672,2021,86.74,133.9,47.38,África
673,2020,85.1,131.24,46.0,África
674,2019,83.0,127.61,44.33,África
675,2018,80.42,124.47,43.07,África
676,2017,77.25,119.51,40.96,África
677,2016,74.4,116.85,39.74,África
678,2021,152.22,221.96,82.76,África
679,2020,140.38,204.1,76.19,África
680,2019,141.42,205.05,75.69,África
681,2018,132.93,191.11,71.3,África
682,2017,126.79,184.86,67.02,África
683,2016,123.89,178.44,65.52,África
684,2021,39.91,61.66,21.22,África
685,2020,38.97,60.04,20.94,África
